mandante,visitante,resultado,gols_mandante,gols_visitante
guarani,vasco,guarani,4,2
atletico pr,gremio,atletico pr,2,0
flamengo,coritiba,empate,1,1
goias,paysandu,empate,2,2
internacional,ponte preta,empate,1,1
criciuma,fluminense,criciuma,2,0
juventude,sao paulo,empate,2,2
fortaleza,bahia,empate,0,0
cruzeiro,sao caetano,empate,2,2
vitoria,figueirense,empate,1,1
santos,parana,empate,2,2
corinthians,atletico mineiro,atletico mineiro,0,3
fluminense,fortaleza,empate,1,1
atletico mineiro,santos,empate,0,0
coritiba,internacional,internacional,0,1
gremio,guarani,gremio,3,1
bahia,flamengo,flamengo,1,2
figueirense,corinthians,empate,3,3
paysandu,vitoria,vitoria,1,2
ponte preta,juventude,ponte preta,1,0
parana,atletico pr,parana,3,0
sao caetano,criciuma,sao caetano,3,2
sao paulo,cruzeiro,cruzeiro,2,4
vasco,goias,vasco,6,4
paysandu,santos,paysandu,2,1
internacional,bahia,internacional,2,0
santos,figueirense,santos,2,0
atletico pr,atletico mineiro,atletico mineiro,1,2
corinthians,paysandu,corinthians,6,1
vitoria,vasco,vitoria,2,1
criciuma,sao paulo,empate,1,1
fortaleza,sao caetano,empate,1,1
juventude,coritiba,juventude,2,1
guarani,parana,guarani,2,0
goias,gremio,empate,1,1
cruzeiro,ponte preta,cruzeiro,3,0
flamengo,fluminense,flamengo,4,1
bahia,juventude,bahia,3,1
gremio,vitoria,gremio,2,1
atletico mineiro,guarani,atletico mineiro,3,2
figueirense,atletico pr,empate,1,1
ponte preta,criciuma,empate,1,1
sao caetano,flamengo,empate,1,1
vasco,corinthians,empate,2,2
coritiba,cruzeiro,cruzeiro,3,4
fluminense,internacional,fluminense,3,1
sao paulo,fortaleza,sao paulo,3,1
parana,goias,parana,3,1
flamengo,cruzeiro,flamengo,3,0
bahia,atletico mineiro,atletico mineiro,2,4
sao caetano,gremio,empate,1,1
flamengo,santos,santos,0,2
sao paulo,vasco,sao paulo,3,1
internacional,corinthians,internacional,2,1
criciuma,guarani,criciuma,1,0
juventude,vitoria,empate,1,1
fortaleza,atletico pr,fortaleza,1,0
ponte preta,paysandu,empate,4,4
cruzeiro,goias,cruzeiro,4,1
fluminense,parana,empate,0,0
coritiba,figueirense,coritiba,1,0
atletico mineiro,coritiba,coritiba,1,2
parana,bahia,parana,3,1
vitoria,internacional,internacional,0,3
guarani,cruzeiro,empate,1,1
corinthians,flamengo,empate,1,1
goias,juventude,goias,7,0
figueirense,ponte preta,empate,0,0
santos,fortaleza,santos,4,0
gremio,fluminense,fluminense,0,1
atletico pr,criciuma,atletico pr,5,2
paysandu,sao paulo,paysandu,5,2
vasco,sao caetano,vasco,1,0
flamengo,vitoria,flamengo,2,1
bahia,gremio,bahia,2,1
cruzeiro,atletico pr,cruzeiro,5,2
fortaleza,corinthians,corinthians,1,2
sao paulo,figueirense,sao paulo,3,2
sao caetano,paysandu,sao caetano,2,0
internacional,goias,internacional,2,1
ponte preta,atletico mineiro,ponte preta,2,1
juventude,guarani,empate,1,1
coritiba,parana,coritiba,2,1
criciuma,santos,santos,1,3
fluminense,vasco,empate,0,0
goias,flamengo,empate,1,1
santos,cruzeiro,cruzeiro,0,2
parana,ponte preta,parana,3,2
corinthians,criciuma,corinthians,3,0
vasco,bahia,empate,1,1
paysandu,fluminense,empate,2,2
atletico mineiro,sao paulo,empate,2,2
vitoria,fortaleza,vitoria,2,1
guarani,internacional,guarani,3,0
atletico pr,juventude,atletico pr,2,0
figueirense,sao caetano,figueirense,3,0
gremio,coritiba,gremio,1,0
fluminense,figueirense,fluminense,3,0
sao caetano,atletico mineiro,sao caetano,2,0
juventude,santos,empate,1,1
bahia,paysandu,bahia,2,0
internacional,atletico pr,empate,1,1
coritiba,vasco,empate,1,1
cruzeiro,corinthians,empate,1,1
fortaleza,goias,fortaleza,1,0
ponte preta,gremio,ponte preta,2,1
criciuma,vitoria,empate,1,1
flamengo,guarani,empate,1,1
sao paulo,parana,sao paulo,2,0
atletico mineiro,fluminense,atletico mineiro,3,0
parana,sao caetano,empate,1,1
corinthians,juventude,corinthians,3,0
vasco,ponte preta,vasco,1,0
atletico pr,flamengo,atletico pr,4,1
paysandu,coritiba,coritiba,1,3
goias,criciuma,criciuma,0,2
gremio,sao paulo,sao paulo,1,2
guarani,fortaleza,guarani,2,1
figueirense,bahia,figueirense,1,0
vitoria,cruzeiro,vitoria,2,1
santos,internacional,santos,2,1
fluminense,atletico pr,fluminense,2,1
cruzeiro,criciuma,cruzeiro,2,0
coritiba,guarani,coritiba,3,2
ponte preta,sao caetano,empate,0,0
internacional,paysandu,internacional,2,1
parana,flamengo,parana,6,2
bahia,goias,bahia,2,1
fortaleza,juventude,fortaleza,3,1
figueirense,gremio,figueirense,2,1
santos,sao paulo,santos,3,2
corinthians,vitoria,corinthians,4,0
vasco,atletico mineiro,empate,2,2
vitoria,fluminense,vitoria,2,1
guarani,santos,santos,1,2
gremio,fortaleza,gremio,3,1
atletico mineiro,figueirense,empate,1,1
paysandu,parana,paysandu,3,0
juventude,vasco,empate,0,0
atletico pr,ponte preta,atletico pr,4,2
goias,coritiba,coritiba,1,2
sao caetano,corinthians,sao caetano,1,0
criciuma,internacional,criciuma,1,0
sao paulo,bahia,empate,2,2
fluminense,goias,goias,2,3
ponte preta,guarani,guarani,0,2
coritiba,atletico pr,coritiba,2,0
corinthians,sao paulo,sao paulo,1,2
fortaleza,paysandu,paysandu,1,2
parana,juventude,juventude,1,2
gremio,internacional,empate,0,0
santos,sao caetano,sao caetano,0,1
criciuma,figueirense,criciuma,1,0
bahia,vitoria,bahia,2,1
vasco,flamengo,flamengo,1,2
cruzeiro,atletico mineiro,empate,0,0
bahia,coritiba,empate,2,2
vasco,criciuma,vasco,2,0
atletico mineiro,gremio,atletico mineiro,3,2
internacional,parana,internacional,2,1
sao paulo,goias,sao paulo,1,0
paysandu,flamengo,empate,2,2
ponte preta,corinthians,empate,3,3
sao caetano,vitoria,sao caetano,2,1
figueirense,fortaleza,empate,2,2
juventude,cruzeiro,cruzeiro,0,1
fluminense,guarani,fluminense,5,2
fortaleza,vasco,vasco,0,1
coritiba,sao caetano,coritiba,2,0
gremio,juventude,juventude,1,4
santos,bahia,santos,4,0
flamengo,figueirense,figueirense,0,2
corinthians,fluminense,corinthians,1,0
guarani,sao paulo,sao paulo,0,1
criciuma,paysandu,criciuma,2,0
vitoria,atletico pr,vitoria,1,0
cruzeiro,internacional,cruzeiro,3,2
parana,atletico mineiro,empate,1,1
vasco,parana,parana,1,4
sao paulo,sao caetano,empate,1,1
figueirense,cruzeiro,figueirense,1,0
atletico mineiro,paysandu,atletico mineiro,3,2
gremio,flamengo,gremio,2,0
guarani,goias,guarani,3,2
